,Time,No.,Length,src_port,dst_port,Syn,Acknowledgment,Reset,Time to live,Protocol
119,157.088191715,120,54,9591.0,443.0,Set,Not set,Not set,64.0,TCP
120,157.08820711200002,121,58,443.0,9591.0,Set,Set,Not set,64.0,TCP
121,157.267879574,122,54,9591.0,443.0,Not set,Set,Not set,64.0,TCP
122,157.354710876,123,146,9591.0,443.0,Not set,Set,Not set,64.0,HTTP
123,157.354731341,124,54,443.0,9591.0,Not set,Set,Not set,64.0,TCP
124,157.456065827,125,145,443.0,9591.0,Not set,Set,Not set,64.0,TCP
125,157.456133481,126,54,443.0,9591.0,Not set,Set,Not set,64.0,HTTP
126,157.533293198,127,54,9591.0,443.0,Not set,Set,Not set,64.0,TCP
127,157.57426885700002,128,54,9591.0,443.0,Not set,Set,Not set,64.0,TCP
128,157.574279705,129,54,443.0,9591.0,Not set,Set,Not set,64.0,TCP
129,158.430052778,130,54,20586.0,443.0,Set,Not set,Not set,64.0,TCP
130,158.430069292,131,58,443.0,20586.0,Set,Set,Not set,64.0,TCP
131,158.50332534700001,132,54,20586.0,443.0,Not set,Set,Not set,64.0,TCP
132,158.524696701,133,146,20586.0,443.0,Not set,Set,Not set,64.0,HTTP
133,158.524713434,134,54,443.0,20586.0,Not set,Set,Not set,64.0,TCP
134,158.625934009,135,145,443.0,20586.0,Not set,Set,Not set,64.0,TCP
135,158.625993523,136,54,443.0,20586.0,Not set,Set,Not set,64.0,HTTP
136,158.699944687,137,54,20586.0,443.0,Not set,Set,Not set,64.0,TCP
137,158.736261803,138,54,20586.0,443.0,Not set,Set,Not set,64.0,TCP
138,158.736271011,139,54,443.0,20586.0,Not set,Set,Not set,64.0,TCP
139,159.601374642,140,54,8371.0,443.0,Set,Not set,Not set,64.0,TCP
140,159.601389283,141,58,443.0,8371.0,Set,Set,Not set,64.0,TCP
141,159.679371179,142,54,8371.0,443.0,Not set,Set,Not set,64.0,TCP
142,159.700110728,143,146,8371.0,443.0,Not set,Set,Not set,64.0,HTTP
143,159.700124209,144,54,443.0,8371.0,Not set,Set,Not set,64.0,TCP
144,159.801769181,145,145,443.0,8371.0,Not set,Set,Not set,64.0,TCP
145,159.801806323,146,54,443.0,8371.0,Not set,Set,Not set,64.0,HTTP
146,159.860869256,147,54,8371.0,443.0,Not set,Set,Not set,64.0,TCP
147,159.897101052,148,54,8371.0,443.0,Not set,Set,Not set,64.0,TCP
148,159.897114627,149,54,443.0,8371.0,Not set,Set,Not set,64.0,TCP
149,160.828354866,150,54,41368.0,443.0,Set,Not set,Not set,64.0,TCP
150,160.828371371,151,58,443.0,41368.0,Set,Set,Not set,64.0,TCP
151,160.907324238,152,54,41368.0,443.0,Not set,Set,Not set,64.0,TCP
152,160.979315504,153,146,41368.0,443.0,Not set,Set,Not set,64.0,HTTP
153,160.979330429,154,54,443.0,41368.0,Not set,Set,Not set,64.0,TCP
154,161.085261914,155,145,443.0,41368.0,Not set,Set,Not set,64.0,TCP
155,161.08531199,156,54,443.0,41368.0,Not set,Set,Not set,64.0,HTTP
156,161.167720643,157,54,41368.0,443.0,Not set,Set,Not set,64.0,TCP
157,161.206108963,158,54,41368.0,443.0,Not set,Set,Not set,64.0,TCP
158,161.206119422,159,54,443.0,41368.0,Not set,Set,Not set,64.0,TCP
159,162.070768488,160,54,53380.0,443.0,Set,Not set,Not set,64.0,TCP
160,162.070784997,161,58,443.0,53380.0,Set,Set,Not set,64.0,TCP
161,162.14419847,162,54,53380.0,443.0,Not set,Set,Not set,64.0,TCP
162,162.164618789,163,146,53380.0,443.0,Not set,Set,Not set,64.0,HTTP
163,162.164637902,164,54,443.0,53380.0,Not set,Set,Not set,64.0,TCP
164,162.265746812,165,145,443.0,53380.0,Not set,Set,Not set,64.0,TCP
165,162.265805915,166,54,443.0,53380.0,Not set,Set,Not set,64.0,HTTP
166,162.336336536,167,54,53380.0,443.0,Not set,Set,Not set,64.0,TCP
167,162.336374285,168,54,443.0,53380.0,Not set,Set,Not set,64.0,TCP
168,162.680777589,169,144,443.0,53380.0,Not set,Set,Not set,64.0,TCP
169,163.213958338,170,54,38118.0,443.0,Set,Not set,Not set,64.0,TCP
170,163.213975359,171,58,443.0,38118.0,Set,Set,Not set,64.0,TCP
171,163.287061879,172,54,38118.0,443.0,Not set,Set,Not set,64.0,TCP
172,163.324112674,173,146,38118.0,443.0,Not set,Set,Not set,64.0,HTTP
173,163.32412482799998,174,54,443.0,38118.0,Not set,Set,Not set,64.0,TCP
174,163.429146532,175,145,443.0,38118.0,Not set,Set,Not set,64.0,TCP
175,163.429196417,176,54,443.0,38118.0,Not set,Set,Not set,64.0,HTTP
176,163.486001487,177,144,443.0,53380.0,Not set,Set,Not set,64.0,TCP
177,163.488183065,178,54,38118.0,443.0,Not set,Set,Not set,64.0,TCP
178,163.523733634,179,54,38118.0,443.0,Not set,Set,Not set,64.0,TCP
179,163.523741979,180,54,443.0,38118.0,Not set,Set,Not set,64.0,TCP
180,164.409064945,181,54,54700.0,443.0,Set,Not set,Not set,64.0,TCP
181,164.409080896,182,58,443.0,54700.0,Set,Set,Not set,64.0,TCP
182,164.478375849,183,54,54700.0,443.0,Not set,Set,Not set,64.0,TCP
183,164.49927443200002,184,146,54700.0,443.0,Not set,Set,Not set,64.0,HTTP
184,164.499296011,185,54,443.0,54700.0,Not set,Set,Not set,64.0,TCP
185,164.600239972,186,145,443.0,54700.0,Not set,Set,Not set,64.0,TCP
186,164.600294328,187,54,443.0,54700.0,Not set,Set,Not set,64.0,HTTP
187,164.661684735,188,54,54700.0,443.0,Not set,Set,Not set,64.0,TCP
188,164.704975442,189,54,54700.0,443.0,Not set,Set,Not set,64.0,TCP
189,164.70498558399999,190,54,443.0,54700.0,Not set,Set,Not set,64.0,TCP
190,165.078342739,191,144,443.0,53380.0,Not set,Set,Not set,64.0,TCP
191,165.54142210700002,192,54,45320.0,443.0,Set,Not set,Not set,64.0,TCP
192,165.541437924,193,58,443.0,45320.0,Set,Set,Not set,64.0,TCP
193,165.610594185,194,54,45320.0,443.0,Not set,Set,Not set,64.0,TCP
194,165.646117474,195,146,45320.0,443.0,Not set,Set,Not set,64.0,HTTP
195,165.64613953100002,196,54,443.0,45320.0,Not set,Set,Not set,64.0,TCP
196,165.746889969,197,145,443.0,45320.0,Not set,Set,Not set,64.0,TCP
197,165.746941538,198,54,443.0,45320.0,Not set,Set,Not set,64.0,HTTP
198,165.89976577299998,199,54,45320.0,443.0,Not set,Set,Not set,64.0,TCP
199,165.985915916,200,54,2191.0,443.0,Set,Not set,Not set,64.0,TCP
200,165.985931108,201,58,443.0,2191.0,Set,Set,Not set,64.0,TCP
201,165.986091754,202,54,45320.0,443.0,Not set,Set,Not set,64.0,TCP
202,165.986098299,203,54,443.0,45320.0,Not set,Set,Not set,64.0,TCP
203,166.065511774,204,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
204,166.105889991,205,146,2191.0,443.0,Not set,Set,Not set,64.0,HTTP
205,166.10590322,206,54,443.0,2191.0,Not set,Set,Not set,64.0,TCP
206,166.209323964,207,145,443.0,2191.0,Not set,Set,Not set,64.0,TCP
207,166.209380457,208,54,443.0,2191.0,Not set,Set,Not set,64.0,HTTP
208,166.27816127,209,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
209,166.32001378799998,210,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
210,166.320024321,211,54,443.0,2191.0,Not set,Set,Not set,64.0,TCP
211,166.75481216,212,54,42223.0,443.0,Set,Not set,Not set,64.0,TCP
212,166.754828827,213,58,443.0,42223.0,Set,Set,Not set,64.0,TCP
213,166.827072125,214,54,42223.0,443.0,Not set,Set,Not set,64.0,TCP
214,166.865127677,215,146,42223.0,443.0,Not set,Set,Not set,64.0,HTTP
215,166.865139615,216,54,443.0,42223.0,Not set,Set,Not set,64.0,TCP
216,166.972366648,217,145,443.0,42223.0,Not set,Set,Not set,64.0,TCP
217,166.972434195,218,54,443.0,42223.0,Not set,Set,Not set,64.0,HTTP
218,167.02734992,219,54,42223.0,443.0,Not set,Set,Not set,64.0,TCP
